state,medical,recreational,mml_effect,mml_retail,rml_effect,rml_retail,mml_retail_cite,rml_retail_cite,mml_cite_act,rml_cite_act,,,,,,
North Carolina,-,-,-,-,-,-,-,-,-,-,,,,,,
North Dakota,2019,-,4/18/17,3/1/19,-,-,https://www.mprnews.org/story/2019/03/01/medical-marijuana-first-debut-in-north-dakota,-,"Measure 5 (2016); Compassionate Care Act, Signing of the regulatory implementation bill.",-,,,,,,
Ohio,2019,2024,9/8/16,1/16/19,12/7/23,8/7/24,https://www.wosu.org/news/2019-01-17/first-medical-marijuana-sold-in-ohio-as-dispensaries-open,https://mjbizdaily.com/news/ohio-adult-use-marijuana-sales-launch-gets-off-to-really-special-start/394059/,HB 523 (2016); Ohio Medical Marijuana Control Program,Issue 2 (2023); Ohio Rev. Code § 3780,,,,,,
Oklahoma,2018,-,6/26/18,9/26/18,-,-,https://www.news9.com/story/5e3486f4527dcf49dad78ac8/first-legal-oklahoma-medical-marijuana-plant-sold,-,State Question 788 (2018),-,,,,,,
Oregon,2014,2015,12/3/98,3/21/14,7/1/15,10/1/15,https://digitalcollections.library.oregon.gov/nodes/view/144382,https://time.com/4057453/oregon-marijuana-sales/,Measure 67 (1998); Oregon Medical Marijuana Act,Measure 91 (2014); ORS 475C,,,,,,
Pennsylvania,2018,-,5/17/16,2/15/18,-,-,https://www.cbsnews.com/pittsburgh/news/pennsylvania-first-legal-medical-marijuana-sale/,-,SB 3 (2016); Medical Marijuana Act,-,,,,,,
Rhode Island,2013,2022,1/3/06,4/19/13,5/25/22,12/1/22,https://www.golocalprov.com/news/ri-dept.-of-health-approves-first-medical-marijuana-dispensary,https://thepublicsradio.org/article/rhode-island-launches-legal-adult-use-sales-of-recrreational-cannabis/,SB 0710 (2006); Edward O. Hawkins and Thomas C. Slater Act,Rhode Island Cannabis Act (2022),,,,,,
South Carolina,-,-,-,-,-,-,-,-,-,-,,,,,,
South Dakota,2022,-,7/1/21,7/27/22,-,-,https://mjbizdaily.com/news/first-licensed-medical-marijuana-dispensary-begins-sales-in-south-dakota/332691/,-,Measure 26 (2020),-,,,,,,
Tennessee,-,-,-,-,-,-,-,-,-,-,,,,,,
Texas,-,-,9/1/25,-,-,-,-,-,HB 46 (2025); Expansion of Compassionate Use Program,-,,,,,,
Utah,2020,-,12/1/18,3/2/20,-,-,https://apnews.com/article/marijuana-salt-lake-city-us-news-ut-state-wire-medical-marijuana-c0a124c40b5213ea05e0a0a1da34f5cb,-,Proposition 2 (2018); Utah Medical Cannabis Act,-,,,,,,
Vermont,2013,2022,7/1/04,6/25/13,7/1/18,10/1/22,https://mjbizdaily.com/news/vermont-becomes-12th-state-with-medical-marijuana-dispensaries-creating-2-million-market/13607/,https://www.wamc.org/news/2022-09-30/legal-cannabis-sales-begin-this-weekend-in-vermont,SB 76 (2004); 18 V.S.A. Chapter 86,Act 86 (H.511) (2018); 7 V.S.A. § 861,,,,,,
Virginia,2020,2027,7/1/20,10/17/20,7/1/21,7/1/27,https://apnews.com/general-news-f37827afad29e92b85c81bce7a0ad227,https://www.wsls.com/news/virginia/2026/06/30/virginia-to-allow-recreational-marijuana-to-be-sold-in-retail-stores-beginning-in-2027/,HB 1251 (2018) / SB 2 (2020 expansion),HB 2312 & SB 1406 (2021),,,,,,
Washington,2014,2014,11/3/98,7/8/14,12/6/12,7/8/14,https://www.cbsnews.com/pictures/recreational-pot-dispensaries-open-in-washington/,https://www.cbsnews.com/pictures/recreational-pot-dispensaries-open-in-washington/,Initiative 692 (1998); RCW 69.51A,Initiative 502 (2012); RCW 69.50,,,,,,
West Virginia,2021,.,7/1/19,11/12/21,-,-,https://apnews.com/article/wv-state-wire-trulieve-cannabis-corp-morgantown-west-virginia-marijuana-7a52126a3a918571bff0c84f950936cf,-,"SB 386 (2017); West Virginia Medical Cannabis Act, Statutory deadline to begin patient registration.",-,,,,,,
Wisconsin,-,-,-,-,-,-,-,-,-,-,,,,,,
Wyoming,-,-,-,-,-,-,-,-,-,-,,,,,,
